film_name,year,song_name,singer(s),music_director,lyricist,duration
The Vaccine War,2023,Nasadiya Sukta,"Rahul Chitnis, Vivek Naik, Nitin Karandikar, Sagar Lele, Gaurang Govind Kulkarni, Shrikant Bhausaheb Kulkarni, Tanmay Prabhakar Pandit, Rudra Desai, Adamya Wakhle, Chinmay Vinayak, Abeer Chowdhary, Veena Joshi, Sonal Naik",Vanraj Bhatia,Vasant Dev,3:56
The Vaccine War,2023,Nasadiya Sukta (Rock Version),Swapnil Bandodkar,"Vanraj Bhatia, Swapnil Bandodkar",Vasant Dev,4:57
The Vaccine War,2023,After The Rain,Shryea Kaul,Shryea Kaul,Shryea Kaul,3:30
Fukrey 3,2023,Ve Fukrey,"Dev Negi , Romy, Asees Kaur",Tanishk Bagchi,Shabbir Ahmed,2:40
Fukrey 3,2023,Mashoor,Abhishek Nailwal,Abhishek Nailwal,"Abhishek Nailwal, Mrighdeep Singh Lamba",3:09
Fukrey 3,2023,Sahi Hai,Abhishek Nailwal,Abhishek Nailwal,Abhishek Nailwal,2:31
Fukrey 3,2023,Macha Re,"Mika Singh , Nakash Aziz",Tanishk Bagchi,Kumaar,2:02
Fukrey 3,2023,Atrangi Kissa,"Gandhharv Sachdeva, Divya Kumar",Sumeet Bellary,Vipul Vig,2:35
Tumse Na Ho Payega,2023,Jamoore,Vishal Dadlani,"Abhishek Arora, Ananya Purkayastha",Kausar Munir,2:33
Tumse Na Ho Payega,2023,Cheenti Step,Abhishek Nailwal,"Abhishek Arora, Ananya Purkayastha",Puneet Sharma,2:30
Tumse Na Ho Payega,2023,Sifar,Papon,"Abhishek Arora, Ananya Purkayastha",Kausar Munir,4:06
Tumse Na Ho Payega,2023,Thokron Ka Shukriya,Varun Jain,"Abhishek Arora, Ananya Purkayastha",Puneet Sharma,3:55
Dono,2023,Dono,Armaan Malik,"Songs:, Shankar–Ehsaan–Loy, Background Score:, George Joseph",,04:04
Dono,2023,Aag Lagdi,"Siddharth Mahadevan , Lisa Mishra","Songs:, Shankar–Ehsaan–Loy, Background Score:, George Joseph",,3:19
Dono,2023,Khamma Ghani,"Shivam Mahadevan, Shreya Ghoshal","Songs:, Shankar–Ehsaan–Loy, Background Score:, George Joseph",,2:52
Dono,2023,Raangla,"Pratibha Singh Baghel , Shankar Mahadevan","Songs:, Shankar–Ehsaan–Loy, Background Score:, George Joseph",,4:31
Dono,2023,Mann Mauji,"Javed Ali , Shrinidhi Gatate","Songs:, Shankar–Ehsaan–Loy, Background Score:, George Joseph",,3:43
Dono,2023,Khatt Mitthiyaan,Himani Kapoor,"Songs:, Shankar–Ehsaan–Loy, Background Score:, George Joseph",,4:37
Dono,2023,Lehenga Padd Gaya Mehenga,Romy,"Songs:, Shankar–Ehsaan–Loy, Background Score:, George Joseph",,3:20
Dono,2023,Dono (Reprise),"Armaan Malik, Shrinidhi Gatate","Songs:, Shankar–Ehsaan–Loy, Background Score:, George Joseph",,4:04
Mission Raniganj,2023,Jalsa 2.0,"Satinder Sartaaj, Prem-Hardeep","Satinder Sartaaj , Prem-Hardeep",Satinder Sartaaj,3:16
Mission Raniganj,2023,Jeetenge,"Arko , B Praak",Arko,Kumar Vishwas,3:52
Mission Raniganj,2023,Jeetenge (Reprise),"Arko, Stebin Ben",Arko,Kumar Vishwas,3:52
Mission Raniganj,2023,Keemti,"Kaushal Kishore, Vishal Mishra",Vishal Mishra,Kaushal Kishore,2:46
Mission Raniganj,2023,Nanak Naam Jahaaz Hai,"Gaurav Chatterji, Jatinder Singh, Hansika Pareek",Gaurav Chatterji,Traditional,1:30
Thank You for Coming,2023,Desi Wine,"QARAN, Nikhita Gandhi , The Rish, Arjun",QARAN,"QARAN, IP Singh",2:51
Thank You for Coming,2023,Haanji,"QARAN, The Rish",QARAN,"QARAN, Siddhant Kaushal",3:13
Thank You for Coming,2023,Pari Hoon Main,"Sunidhi Chauhan , Sushant Divgikr",The Jamroom,Raajesh Johri,3:19
Thank You for Coming,2023,Pari Hoon Main (Jazz Version),Devashree Manohar,Aman Pant,Raajesh Johri,1:41
Thank You for Coming,2023,Chehra 2.0,Hanita Bhambri,Hanita Bhambri,Hanita Bhambri,4:07
Thank You for Coming,2023,Duniya Farzi,"Vishal Mishra, Nikhita Gandhi, Hansika Pareek",Vishal Mishra,Kumaar,3:30
Thank You for Coming,2023,Nach Nach,"Aman Pant, Rashmeet Kaur",Aman Pant,Farmaan,3:05
16 August 1947,2023,Seenikaari,Sean Roldan and Sathyaprakash Dharmar,Sean Roldan,Mohan Rajan,4:04
16 August 1947,2023,Kottikara Payalae,Sean Roldan and Meenakshi Ilayaraja,Sean Roldan,NS Ponkumar,4:10
16 August 1947,2023,Kottunga Da,Ananthu and Manoj Krishna,Sean Roldan,Mohan Raja,4:31
Bumper,2023,Saraname Saraname Saranam Ayyane,K. S. Harisankar,Govind Vasantha,Karthik Netha,4:01
